"Statistic","Year","County","Dwelling Status","Stamp Duty Event","Type of Buyer","Type of Sale","UNIT","VALUE"
"Volume of Sales","2010","Carlow","New","Filings","Household Buyer - All","All Sale Types","Number","76"
"Volume of Sales","2010","Carlow","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","41"
"Volume of Sales","2010","Carlow","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","23"
"Volume of Sales","2010","Carlow","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","12"
"Volume of Sales","2010","Carlow","New","Filings","Non-Household Buyer","All Sale Types","Number","3"
"Volume of Sales","2010","Carlow","New","Executions","Household Buyer - All","All Sale Types","Number","90"
"Volume of Sales","2010","Carlow","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","59"
"Volume of Sales","2010","Carlow","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","21"
"Volume of Sales","2010","Carlow","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","10"
"Volume of Sales","2010","Carlow","New","Executions","Non-Household Buyer","All Sale Types","Number","3"
"Volume of Sales","2010","Carlow","Existing","Filings","Household Buyer - All","All Sale Types","Number","175"
"Volume of Sales","2010","Carlow","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","65"
"Volume of Sales","2010","Carlow","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","80"
"Volume of Sales","2010","Carlow","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","30"
"Volume of Sales","2010","Carlow","Existing","Filings","Non-Household Buyer","All Sale Types","Number","8"
"Volume of Sales","2010","Carlow","Existing","Executions","Household Buyer - All","All Sale Types","Number","183"
"Volume of Sales","2010","Carlow","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","61"
"Volume of Sales","2010","Carlow","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","89"
"Volume of Sales","2010","Carlow","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","33"
"Volume of Sales","2010","Carlow","Existing","Executions","Non-Household Buyer","All Sale Types","Number","9"
"Volume of Sales","2010","Dublin","New","Filings","Household Buyer - All","All Sale Types","Number","1612"
"Volume of Sales","2010","Dublin","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","1021"
"Volume of Sales","2010","Dublin","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","401"
"Volume of Sales","2010","Dublin","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","190"
"Volume of Sales","2010","Dublin","New","Filings","Non-Household Buyer","All Sale Types","Number","252"
"Volume of Sales","2010","Dublin","New","Executions","Household Buyer - All","All Sale Types","Number","1319"
"Volume of Sales","2010","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","827"
"Volume of Sales","2010","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","303"
"Volume of Sales","2010","Dublin","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","189"
"Volume of Sales","2010","Dublin","New","Executions","Non-Household Buyer","All Sale Types","Number","162"
"Volume of Sales","2010","Dublin","Existing","Filings","Household Buyer - All","All Sale Types","Number","6951"
"Volume of Sales","2010","Dublin","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","3399"
"Volume of Sales","2010","Dublin","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","2676"
"Volume of Sales","2010","Dublin","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","876"
"Volume of Sales","2010","Dublin","Existing","Filings","Non-Household Buyer","All Sale Types","Number","189"
"Volume of Sales","2010","Dublin","Existing","Executions","Household Buyer - All","All Sale Types","Number","6785"
"Volume of Sales","2010","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","3320"
"Volume of Sales","2010","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","2695"
"Volume of Sales","2010","Dublin","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","770"
"Volume of Sales","2010","Dublin","Existing","Executions","Non-Household Buyer","All Sale Types","Number","190"
"Volume of Sales","2010","Kildare","New","Filings","Household Buyer - All","All Sale Types","Number","520"
"Volume of Sales","2010","Kildare","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","281"
"Volume of Sales","2010","Kildare","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","128"
"Volume of Sales","2010","Kildare","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","111"
"Volume of Sales","2010","Kildare","New","Filings","Non-Household Buyer","All Sale Types","Number","32"
"Volume of Sales","2010","Kildare","New","Executions","Household Buyer - All","All Sale Types","Number","389"
"Volume of Sales","2010","Kildare","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","250"
"Volume of Sales","2010","Kildare","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","109"
"Volume of Sales","2010","Kildare","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","30"
"Volume of Sales","2010","Kildare","New","Executions","Non-Household Buyer","All Sale Types","Number","12"
"Volume of Sales","2010","Kildare","Existing","Filings","Household Buyer - All","All Sale Types","Number","846"
"Volume of Sales","2010","Kildare","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","397"
"Volume of Sales","2010","Kildare","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","346"
"Volume of Sales","2010","Kildare","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","103"
"Volume of Sales","2010","Kildare","Existing","Filings","Non-Household Buyer","All Sale Types","Number","13"
"Volume of Sales","2010","Kildare","Existing","Executions","Household Buyer - All","All Sale Types","Number","841"
"Volume of Sales","2010","Kildare","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","381"
"Volume of Sales","2010","Kildare","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","374"
"Volume of Sales","2010","Kildare","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","86"
"Volume of Sales","2010","Kildare","Existing","Executions","Non-Household Buyer","All Sale Types","Number","14"
"Volume of Sales","2010","Kilkenny","New","Filings","Household Buyer - All","All Sale Types","Number","95"
"Volume of Sales","2010","Kilkenny","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","38"
"Volume of Sales","2010","Kilkenny","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","37"
"Volume of Sales","2010","Kilkenny","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","20"
"Volume of Sales","2010","Kilkenny","New","Filings","Non-Household Buyer","All Sale Types","Number","2"
"Volume of Sales","2010","Kilkenny","New","Executions","Household Buyer - All","All Sale Types","Number","69"
"Volume of Sales","2010","Kilkenny","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","26"
"Volume of Sales","2010","Kilkenny","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","30"
"Volume of Sales","2010","Kilkenny","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","13"
"Volume of Sales","2010","Kilkenny","New","Executions","Non-Household Buyer","All Sale Types","Number","2"
"Volume of Sales","2010","Kilkenny","Existing","Filings","Household Buyer - All","All Sale Types","Number","376"
"Volume of Sales","2010","Kilkenny","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","151"
"Volume of Sales","2010","Kilkenny","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","161"
"Volume of Sales","2010","Kilkenny","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","64"
"Volume of Sales","2010","Kilkenny","Existing","Filings","Non-Household Buyer","All Sale Types","Number","5"
"Volume of Sales","2010","Kilkenny","Existing","Executions","Household Buyer - All","All Sale Types","Number","367"
"Volume of Sales","2010","Kilkenny","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","146"
"Volume of Sales","2010","Kilkenny","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","154"
"Volume of Sales","2010","Kilkenny","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","67"
"Volume of Sales","2010","Kilkenny","Existing","Executions","Non-Household Buyer","All Sale Types","Number","5"
"Volume of Sales","2010","Laois","New","Filings","Household Buyer - All","All Sale Types","Number","135"
"Volume of Sales","2010","Laois","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","82"
"Volume of Sales","2010","Laois","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","36"
"Volume of Sales","2010","Laois","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","17"
"Volume of Sales","2010","Laois","New","Filings","Non-Household Buyer","All Sale Types","Number","0"
"Volume of Sales","2010","Laois","New","Executions","Household Buyer - All","All Sale Types","Number","98"
"Volume of Sales","2010","Laois","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","70"
"Volume of Sales","2010","Laois","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","22"
"Volume of Sales","2010","Laois","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","6"
"Volume of Sales","2010","Laois","New","Executions","Non-Household Buyer","All Sale Types","Number","2"
"Volume of Sales","2010","Laois","Existing","Filings","Household Buyer - All","All Sale Types","Number","281"
"Volume of Sales","2010","Laois","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","119"
"Volume of Sales","2010","Laois","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","116"
"Volume of Sales","2010","Laois","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","46"
"Volume of Sales","2010","Laois","Existing","Filings","Non-Household Buyer","All Sale Types","Number","13"
"Volume of Sales","2010","Laois","Existing","Executions","Household Buyer - All","All Sale Types","Number","285"
"Volume of Sales","2010","Laois","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","118"
"Volume of Sales","2010","Laois","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","122"
"Volume of Sales","2010","Laois","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","45"
"Volume of Sales","2010","Laois","Existing","Executions","Non-Household Buyer","All Sale Types","Number","12"
"Volume of Sales","2010","Longford","New","Filings","Household Buyer - All","All Sale Types","Number","72"
"Volume of Sales","2010","Longford","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","22"
"Volume of Sales","2010","Longford","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","25"
"Volume of Sales","2010","Longford","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","25"
"Volume of Sales","2010","Longford","New","Filings","Non-Household Buyer","All Sale Types","Number","0"
"Volume of Sales","2010","Longford","New","Executions","Household Buyer - All","All Sale Types","Number","56"
"Volume of Sales","2010","Longford","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","21"
"Volume of Sales","2010","Longford","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","20"
"Volume of Sales","2010","Longford","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","15"
"Volume of Sales","2010","Longford","New","Executions","Non-Household Buyer","All Sale Types","Number","0"
"Volume of Sales","2010","Longford","Existing","Filings","Household Buyer - All","All Sale Types","Number","133"
"Volume of Sales","2010","Longford","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","42"
"Volume of Sales","2010","Longford","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","54"
"Volume of Sales","2010","Longford","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","37"
"Volume of Sales","2010","Longford","Existing","Filings","Non-Household Buyer","All Sale Types","Number","1"
"Volume of Sales","2010","Longford","Existing","Executions","Household Buyer - All","All Sale Types","Number","130"
"Volume of Sales","2010","Longford","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","40"
"Volume of Sales","2010","Longford","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","56"
"Volume of Sales","2010","Longford","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","34"
"Volume of Sales","2010","Longford","Existing","Executions","Non-Household Buyer","All Sale Types","Number","2"
"Volume of Sales","2010","Louth","New","Filings","Household Buyer - All","All Sale Types","Number","153"
"Volume of Sales","2010","Louth","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","91"
"Volume of Sales","2010","Louth","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","45"
"Volume of Sales","2010","Louth","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","17"
"Volume of Sales","2010","Louth","New","Filings","Non-Household Buyer","All Sale Types","Number","23"
"Volume of Sales","2010","Louth","New","Executions","Household Buyer - All","All Sale Types","Number","119"
"Volume of Sales","2010","Louth","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","77"
"Volume of Sales","2010","Louth","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","34"
"Volume of Sales","2010","Louth","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","8"
"Volume of Sales","2010","Louth","New","Executions","Non-Household Buyer","All Sale Types","Number","41"
"Volume of Sales","2010","Louth","Existing","Filings","Household Buyer - All","All Sale Types","Number","509"
"Volume of Sales","2010","Louth","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","232"
"Volume of Sales","2010","Louth","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","188"
"Volume of Sales","2010","Louth","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","89"
"Volume of Sales","2010","Louth","Existing","Filings","Non-Household Buyer","All Sale Types","Number","26"
"Volume of Sales","2010","Louth","Existing","Executions","Household Buyer - All","All Sale Types","Number","512"
"Volume of Sales","2010","Louth","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","223"
"Volume of Sales","2010","Louth","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","197"
"Volume of Sales","2010","Louth","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","92"
"Volume of Sales","2010","Louth","Existing","Executions","Non-Household Buyer","All Sale Types","Number","27"
"Volume of Sales","2010","Meath","New","Filings","Household Buyer - All","All Sale Types","Number","356"
"Volume of Sales","2010","Meath","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","214"
"Volume of Sales","2010","Meath","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","108"
"Volume of Sales","2010","Meath","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","34"
"Volume of Sales","2010","Meath","New","Filings","Non-Household Buyer","All Sale Types","Number","1"
"Volume of Sales","2010","Meath","New","Executions","Household Buyer - All","All Sale Types","Number","286"
"Volume of Sales","2010","Meath","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","177"
"Volume of Sales","2010","Meath","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","86"
